"name","zipcode","addresse","LocName","latitude","longitude","iConf","iLvl"
"粂森稲荷神社","111-0053","東京都台東区浅草橋3-16-8","東京都/台東区/浅草橋/三丁目/１６番","139.78665","35.70067","5","7"
"藏前神社【東石清水宮】","111-0051","東京都台東区蔵前3-14-11","東京都/台東区/蔵前/三丁目/１４番","139.79173","35.70484","5","7"
"黒船稲荷神社","111-0042","東京都台東区寿4-3-1","東京都/台東区/寿/四丁目/３番","139.79318","35.70822","5","7"
"合力稲荷神社","111-0032","東京都台東区浅草6-42-8","東京都/台東区/浅草/六丁目/４２番","139.80049","35.71977","5","7"
"五條天神社【五條天神】","110-0007","東京都台東区上野公園4-17","東京都/台東区/上野公園/４番","139.77174","35.71470","5","7"
"金刀比羅神社【 生駒金比羅宮】","110-0016","東京都台東区台東2-24-1","東京都/台東区/台東/二丁目/２４番","139.77838","35.70345","5","7"
"境稲荷神社","110-0008","東京都台東区池之端1-6-13","東京都/台東区/池之端/一丁目/６番","139.76781","35.71196","5","7"
"榊神社【第六天榊神社】","111-0051","東京都台東区蔵前1-4-3","東京都/台東区/蔵前/一丁目/４番","139.78929","35.70015","5","7"
"下谷神社【下谷稲荷】","110-0015","東京都台東区東上野3-29-8","東京都/台東区/東上野/三丁目/２９番","139.78128","35.71078","5","7"
"篠塚稲荷神社【篠塚稲荷】","111-0052","東京都台東区柳橋1-5-1","東京都/台東区/柳橋/一丁目/５番","139.78659","35.69634","5","7"
"須賀神社【団子天王】","111-0053","東京都台東区浅草橋2-29-16","東京都/台東区/浅草橋/二丁目/２９番","139.78720","35.69928","5","7"
"諏訪神社【おすわさま】","111-0043","東京都台東区駒形1-4-15","東京都/台東区/駒形/一丁目/４番","139.79451","35.70700","5","7"
"浅間神社【お富士様】","111-0032","東京都台東区浅草5-3-2","東京都/台東区/浅草/五丁目/３番","139.79849","35.71930","5","7"
"玉姫稲荷神社【玉姫稲荷】","111-0022","東京都台東区清川2-13-20","東京都/台東区/清川/二丁目/１３番","139.80229","35.72715","5","7"
"東照宮【上野権現様】","110-0007","東京都台東区上野公園9-88","東京都/台東区/上野公園/９番","139.77049","35.71697","5","7"
"鳥越神社【鳥越明神】","111-0054","東京都台東区鳥越2-4-1","東京都/台東区/鳥越/二丁目/４番","139.78578","35.70196","5","7"
"七倉稲荷神社","110-0008","東京都台東区池之端2-5-47","東京都/台東区/池之端/二丁目/５番","139.76566","35.71630","5","7"
"八幡神社","111-0035","東京都台東区西浅草2-14-5","東京都/台東区/西浅草/二丁目/１４番","139.79182","35.71302","5","7"
"花園稲荷神社【穴稲荷・忍岡稲荷】","110-0007","東京都台東区上野公園4-17","東京都/台東区/上野公園/４番","139.77174","35.71470","5","7"
"日枝神社","111-0035","東京都台東区西浅草3-8-1","東京都/台東区/西浅草/三丁目/８番","139.78931","35.71509","5","7"
"宝珠稲荷神社","111-0022","東京都台東区清川2-15-1","東京都/台東区/清川/二丁目/１５番","139.80069","35.72699","5","7"
"本社 三島神社","111-0042","東京都台東区寿4-9-1","東京都/台東区/寿/四丁目/９番","139.79231","35.70887","5","7"
"三島神社","110-0004","東京都台東区下谷3-7-5","東京都/台東区/下谷/三丁目/７番","139.78592","35.72467","5","7"
"元三島神社【三島さま】","110-0003","東京都台東区根岸1-7-11","東京都/台東区/根岸/一丁目/７番","139.77818","35.72234","5","7"
"矢先稲荷神社","111-0036","東京都台東区松が谷2-14-1","東京都/台東区/松が谷/二丁目/１４番","139.78752","35.71365","5","7"
"吉原神社","111-0031","東京都台東区千束3-20-2","東京都/台東区/千束/三丁目/２０番","139.79272","35.72279","5","7"
"朝日神社","106-0032","東京都港区六本木6-7-14","東京都/港区/六本木/六丁目/７番","139.73235","35.66200","5","7"
